Gears: SALUT :3  (256442925313949696 / 388.559 | 12/05/2017)
Haku: >w<  (205033396303298571 / 1053.486 | 12/05/2017)
Haku: f.hug <@256442925313949696>  (205033396303298571 / 1059.061 | 12/05/2017)
FurBot: Haku le chaton <3 shares a loving hug with Gears :heart:!  (174186616422662144 / 1059.202 | 12/05/2017)
Kechua Co.: f.shoot <@!205033396303298571> <@256442925313949696>  (304187232175259648 / 1061.346 | 12/05/2017)
FurBot: Kechua la tente just shot Gears and Haku le chaton <3 THROUGH THE HEART AND YOU'RE TO BLAME. DARLIN' YOU GIVE LOOOOVE A BAD NAME! :gun:
https://www.youtube.com/watch?v=KrZHPOeOxQQ  (174186616422662144 / 1061.466 | 12/05/2017)
SnoWDooM: jvous casse le cul.  (349657602902458368 / 1062 | 12/05/2017)
Haku: >w<  (205033396303298571 / 1064.907 | 12/05/2017)
Haku: yiff  (205033396303298571 / 1068.193 | 12/05/2017)
Plush: https://e621.net/  (387293113472909324 / 1068.198 | 12/05/2017)
Dyno:   (363614428731539458 / 1080.37 | 12/05/2017)
SnoWDooM: !play bon jovi its my life  (349657602902458368 / 1082.033 | 12/05/2017)
Rythm: <:youtube:335112740957978625> **Searching** 🔎 `bon jovi its my life`  (235088799074484224 / 1082.038 | 12/05/2017)
Rythm: **Playing** 🎶 `Bon Jovi - It's My Life` - Now!  (235088799074484224 / 1082.681 | 12/05/2017)
Dyno:   (363614428731539458 / 1083.971 | 12/05/2017)
SnoWDooM: ne me remerciais pas x3  (349657602902458368 / 1096.811 | 12/05/2017)
